spec,maxl,maxw,maxth,maxstl,maxstw,Site
2776,77.24,41.34,12.77,17.94,30.58,Pov Pt
2783,54.66,29.33,11.28,8.53,16.79,Pov Pt
2791,68.17,27.15,10.3,19.78,21.78,Pov Pt
2773,60.97,31.17,8.1,16,25.89,Pov Pt
2768,40.72,28.91,10.37,13.46,15.37,Pov Pt
2769,51,28.28,10.17,15.94,16.66,Pov Pt
2778,58.35,30.04,11.7,16,20.48,Pov Pt
2784,55.85,32.99,9.89,17.26,22.26,Pov Pt
2788,39.05,21.11,9.66,15.46,17.36,Pov Pt
2792,46.82,27.22,8.16,13.51,20.13,Pov Pt
2775,52.65,34.55,10.03,16.84,21.09,Pov Pt
2798,52.64,26.58,9.64,14.55,22.12,Pov Pt
2787,42.5,24.27,9.68,11.29,15.66,Pov Pt
2781,45.27,25.85,11.65,16.11,24.8,Pov Pt
2774,57.18,26.08,9.81,15.09,17.36,Pov Pt
2786,51.84,31.31,8.57,15.75,21.52,Pov Pt
2772,38.28,21.74,9.3,9.29,15.48,Pov Pt
2780,67.06,32.91,9.51,12.89,16.49,Pov Pt
2789,55.78,29.21,9.38,15.25,20.16,Pov Pt
